chain,track,source,model,seed,reporting_budget,model_value_capture,oracle_value_capture,oracle_gap_value_capture,headroom_kusd,total_observed_late_value_kusd,group_model_macro_value_capture,group_oracle_macro_value_capture,group_oracle_gap_macro_value_capture,group_model_pooled_value_capture,group_oracle_pooled_value_capture
sheep,b1,cpu,upstream_capacity,,50,0.6126089360703371,1.0000000000000002,0.38739106392966316,10039.796800000002,25916.4388,0.473999956266303,0.9843188936354215,0.5103189373691184,0.345578999843142,0.9860344701371548
sheep,b1,kge,RGCN,0,50,0.2532004127048505,1.0000000000000002,0.7467995872951497,19354.385800000004,25916.4388,0.8090687571029246,0.9843188936354215,0.1752501365324968,0.487953344886258,0.9860344701371548
sheep,b1,kge,RGCN,1,50,0.17156107883155616,1.0000000000000002,0.8284389211684441,21470.1866,25916.4388,0.6970246885209684,0.9843188936354215,0.28729420511445286,0.3880208881167732,0.9860344701371548
sheep,b1,kge,RGCN,2,50,0.7604043963015475,1.0000000000000002,0.23959560369845267,6209.464800000002,25916.4388,0.7502452276911599,0.9843188936354215,0.23407366594426152,0.48019524194813373,0.9860344701371548
sheep,b1,kge,RGCN,3,50,0.16726363654561985,1.0000000000000002,0.8327363634543804,21581.561,25916.4388,0.777585493596733,0.9843188936354215,0.20673340003868834,0.3948036950200118,0.9860344701371548
sheep,b1,kge,RGCN,4,50,0.7432103055763974,1.0000000000000002,0.2567896944236028,6655.074400000001,25916.4388,0.7036910836717885,0.9843188936354215,0.28062780996363296,0.46300115122298363,0.9860344701371548
sheep,b1,nbfnet,NBFNet,0,50,0.06325062685695845,1.0000000000000002,0.9367493731430417,24277.207800000004,25916.4388,0.4711984611455163,0.9843188936354215,0.513120432489905,0.32780605644013094,0.9860344701371548
sheep,b1,nbfnet,NBFNet,1,50,0.3021804446373242,1.0000000000000002,0.697819555362676,18084.997800000005,25916.4388,0.601114905361439,0.9843188936354215,0.38320398827398244,0.37661888947489197,0.9860344701371548
sheep,b1,nbfnet,NBFNet,2,50,0.09222743982865424,1.0000000000000002,0.907772560171346,23526.232000000004,25916.4388,0.5888455199690457,0.9843188936354215,0.39547337366637564,0.35000692301906855,0.9860344701371548
sheep,b1,nbfnet,NBFNet,3,50,0.3099071543733856,1.0000000000000002,0.6900928456266147,17884.749000000003,25916.4388,0.601114905361439,0.9843188936354215,0.38320398827398244,0.3740997933713023,0.9860344701371548
sheep,b1,nbfnet,NBFNet,4,50,0.7856383107697653,1.0000000000000002,0.2143616892302349,5555.491600000001,25916.4388,0.48346784653790953,0.9843188936354215,0.5008510470975118,0.3420606846647465,0.9860344701371548
sheep,b2,cpu,gravity,,3,0.10361512750998451,0.9845306832935841,0.8809155557835995,20467.546599999998,25916.438799999996,0.10361512750998451,0.9845306832935841,0.8809155557835995,0.05864612849509247,0.8483976355578606
sheep,b2,cpu,historical_logistic_demand_gravity,,3,0.11823441629464804,0.9845306832935841,0.866296266998936,20264.466199999995,25916.438799999996,0.11823441629464804,0.9845306832935841,0.866296266998936,0.06648209706960202,0.8483976355578606
sheep,b2,cpu,processed_importer_demand,,3,0.165868485650566,0.9845306832935841,0.818662197643018,20729.6036,25916.438799999996,0.165868485650566,0.9845306832935841,0.818662197643018,0.04853451547517401,0.8483976355578606
sheep,b2,kge,DistMult,0,3,0.015427301886854233,0.9845306832935841,0.9691033814067298,21579.140799999997,25916.438799999996,0.015427301886854233,0.9845306832935841,0.9691033814067298,0.01575465684737519,0.8483976355578606
sheep,b2,kge,DistMult,1,3,0.015963280554170005,0.9845306832935841,0.9685674027394139,21443.009599999998,25916.438799999996,0.015963280554170005,0.9845306832935841,0.9685674027394139,0.021007353834431915,0.8483976355578606
sheep,b2,kge,DistMult,2,3,0.014619288784663512,0.9845306832935841,0.9699113945089206,21784.364999999998,25916.438799999996,0.014619288784663512,0.9845306832935841,0.9699113945089206,0.007835968574509551,0.8483976355578606
sheep,b2,kge,DistMult,3,3,0.1,0.9845306832935841,0.884530683293584,21296.051199999998,25916.438799999996,0.1,0.9845306832935841,0.884530683293584,0.026677824269590623,0.8483976355578606
sheep,b2,kge,DistMult,4,3,0.06752676833281872,0.9845306832935841,0.9170039149607654,20776.766399999997,25916.438799999996,0.06752676833281872,0.9845306832935841,0.9170039149607654,0.0467147129797787,0.8483976355578606
sheep,b2,nbfnet,NBFNet,0,3,0.47112148822727756,0.9845306832935841,0.5134091950663062,10883.219399999998,25916.438799999996,0.47112148822727756,0.9845306832935841,0.5134091950663062,0.4284626481937789,0.8483976355578606
sheep,b2,nbfnet,NBFNet,1,3,0.44276030384161524,0.9845306832935841,0.5417703794519687,12412.463599999995,25916.438799999996,0.44276030384161524,0.9845306832935841,0.5417703794519687,0.3694559223159936,0.8483976355578606
sheep,b2,nbfnet,NBFNet,2,3,0.35020994022160806,0.9845306832935841,0.6343207430719758,13445.198199999997,25916.438799999996,0.35020994022160806,0.9845306832935841,0.6343207430719758,0.3296072915697044,0.8483976355578606
sheep,b2,nbfnet,NBFNet,3,3,0.41982751365671717,0.9845306832935841,0.5647031696368667,14864.374599999996,25916.438799999996,0.41982751365671717,0.9845306832935841,0.5647031696368667,0.27484759210050114,0.8483976355578606
sheep,b2,nbfnet,NBFNet,4,3,0.5079856776748078,0.9845306832935841,0.47654500561877605,14455.290599999997,25916.438799999996,0.5079856776748078,0.9845306832935841,0.47654500561877605,0.29063232252418886,0.8483976355578606
cotton,a,cpu,gravity,,500,0.04688770340907691,0.6849306007221032,0.6380428973130263,1246405.957,1953483.006,0.1570165203721861,0.8216078270596651,0.6645913066874789,0.12383415922073292,0.7149755695392006
cotton,a,cpu,historical_logistic_size_gravity,,500,0.05572740979349989,0.6849306007221032,0.6292031909286033,1229137.7408,1953483.006,0.1709312894978812,0.8216078270596651,0.6506765375617839,0.15410424696573988,0.7149755695392006
cotton,a,cpu,size,,500,0.09182517116813863,0.6849306007221032,0.5931054295539646,1158621.3774,1953483.006,0.15962535245174003,0.8216078270596651,0.6619824746079251,0.14611266252295207,0.7149755695392006
cotton,a,kge,RotatE,0,500,0.024610892366268174,0.6849306007221032,0.6603197083558351,1289923.3288,1953483.006,0.15097606746379422,0.8216078270596651,0.6706317595958711,0.11457909278582173,0.7149755695392006
cotton,a,kge,RotatE,1,500,0.02317536137296707,0.6849306007221032,0.6617552393491362,1292727.6142,1953483.006,0.1523823847994737,0.8216078270596651,0.6692254422601915,0.10894906274910282,0.7149755695392006
cotton,a,kge,RotatE,2,500,0.01827181044850103,0.6849306007221032,0.6666587902736022,1302306.6176,1953483.006,0.1267700369537713,0.8216078270596651,0.694837790105894,0.10211634039676924,0.7149755695392006
cotton,a,kge,RotatE,3,500,0.01432461542488586,0.6849306007221032,0.6706059852972174,1310017.396,1953483.006,0.14446578970144833,0.8216078270596651,0.6771420373582169,0.16724983058286197,0.7149755695392006
cotton,a,kge,RotatE,4,500,0.033029197593132276,0.6849306007221032,0.6519014031289709,1273478.3126,1953483.006,0.14513055468875677,0.8216078270596651,0.6764772723709085,0.08830437995630047,0.7149755695392006
