threshold_kusd,chain,task,candidate_count,positive_count,base_rate,candidate_key_sha256,positive_key_sha256,candidate_overlap_vs_100_intersection,candidate_overlap_vs_100_left_only,candidate_overlap_vs_100_reference_only,candidate_overlap_vs_100_union,candidate_overlap_vs_100_jaccard,candidate_overlap_vs_100_retention_vs_reference,positive_overlap_vs_100_intersection,positive_overlap_vs_100_left_only,positive_overlap_vs_100_reference_only,positive_overlap_vs_100_union,positive_overlap_vs_100_jaccard,positive_overlap_vs_100_retention_vs_reference
100,aluminium,b1,358,72,0.2011173184357542,01f30582473197095a0acfb091fb0c0ee3bfcd105174174e6bdd2b3b07bdb7b6,fa765282c086b38b5702a45f7e0076c57bb4e34a9efd04439d9d4a5b4b2f1cbb,358,0,0,358,1.0,1.0,72,0,0,72,1.0,1.0
100,aluminium,b2,10561,181,0.017138528548432914,4c9c2b09b1af7f930a58381b52feacf92166a19bfa6ae7c391bbb8e301873d14,57bb7984377184ab132820ca9a8101e9a6c768fd528b1f962723550481337914,10561,0,0,10561,1.0,1.0,181,0,0,181,1.0,1.0
100,nickel,a,24645,1564,0.0634611483059444,a495f6565be1179476ead406bd0e06620fb86eccb911bdbf33a4cce25bc78edf,97dddd7abf4eae99c8e4731d4c28c4cd2dd4aaabb03b06c7d07720521339bfd5,24645,0,0,24645,1.0,1.0,1564,0,0,1564,1.0,1.0
100,nickel,b1,343,66,0.1924198250728863,fdab4d548887b766d6f079ad4928d6b483497d0f2c70f8f36eb4b3430827cb4d,13cf7e64a1f21aa51deda9de02fa466d28a6e8ddbab4c22dea67bdd3b23ba5c9,343,0,0,343,1.0,1.0,66,0,0,66,1.0,1.0
100,nickel,b2,4693,139,0.02961858086511826,fda8c41cab1e489d78b4edaff1961b4443e62e2a0f6ef5cfef8a0f69580ccb82,c79cfe75688ea9e807e0d291b077eb56c6dd47993b506d0b27770399c18a1d3d,4693,0,0,4693,1.0,1.0,139,0,0,139,1.0,1.0
100,cocoa,a,54026,2552,0.04723651575167512,7cba9063cbba721b48d464e5ece43cdabd5792ab6b152d14fad2581942e2dae5,0c358a3a9fad8210547d7d7755977c528982dbe3ebc79555288038dd12181783,54026,0,0,54026,1.0,1.0,2552,0,0,2552,1.0,1.0
100,cocoa,b1,277,42,0.15162454873646208,d59666c14c5015a2aacaab4446e6bf99e6de723d31b2c2adc1fc9277ca242ce1,f7be9c5ba2ebcee23c3ada83d8d4a88a65aac6db2e3b9c3b9137682599bede1f,277,0,0,277,1.0,1.0,42,0,0,42,1.0,1.0
100,cocoa,b2,5855,72,0.012297181895815542,0a054a2170f431b8d4b8e5ef1580493ba5926c92f99317717b2eeb3cebe3afa0,b1ad550768fa13e67a0df0f7d31b6b7d11622ccb18ea36a150cb37e4458326a4,5855,0,0,5855,1.0,1.0,72,0,0,72,1.0,1.0
100,oilseed-soy,a,34548,1034,0.02992937362510131,742049bc086c9dc0296fae5017de54013ad7f650015c302970109f695f5957fc,21205a4512791be1d6b6ac70293788b7011ee11771bb6ae74339c347074d636c,34548,0,0,34548,1.0,1.0,1034,0,0,1034,1.0,1.0
100,oilseed-soy,b1,86,34,0.3953488372093023,d0c6a324e272ecd2bdb756dca11d8dbc2868e62c7487ff2a9564ebe495c125c1,e2a3cf37fc0bcd1d2230ca3ebcfe9443a90c4e96db83e3a4690d70742b37090e,86,0,0,86,1.0,1.0,34,0,0,34,1.0,1.0
