chain,sensitivity,slice,track,model,status,n,positives,clusters_or_entry_groups,primary_metric,primary_value,ci95_low,ci95_high,cluster_unit
cocoa,threshold_outcome_only,threshold_250_kusd,A,size,complete,54026,1227,88,average_precision,0.10981401186274792,0.08752407697692904,0.14096132260999517,exporter
cocoa,threshold_outcome_only,threshold_250_kusd,A,gravity,complete,54026,1227,88,average_precision,0.10468017754994999,0.08582965421031226,0.1284327210405609,exporter
cocoa,threshold_outcome_only,threshold_250_kusd,A,historical_logistic_size_gravity,complete,54026,1227,88,average_precision,0.12455480997182676,0.10181118977101532,0.14827210693552756,exporter
cocoa,threshold_outcome_only,threshold_250_kusd,B1,upstream_capacity,complete,277,23,74,average_precision,0.24663665810422097,0.06366118702065075,0.45124419099141777,exporter
cocoa,threshold_outcome_only,threshold_250_kusd,B1,historical_logistic_structural,complete,277,23,74,average_precision,0.4175573061596576,0.28620453092591963,0.6667528557195611,exporter
cocoa,threshold_outcome_only,threshold_250_kusd,B2,processed_importer_demand,complete,3347,30,23,macro_recall_at_3,0.10869565217391304,0.0,0.21739130434782608,exporter_stage_entry
cocoa,threshold_outcome_only,threshold_250_kusd,B2,gravity,complete,3347,30,23,macro_recall_at_3,0.30434782608695654,0.1516304347826087,0.5434782608695652,exporter_stage_entry
cocoa,threshold_outcome_only,threshold_250_kusd,B2,historical_logistic_demand_gravity,complete,3347,30,23,macro_recall_at_3,0.30434782608695654,0.17391304347826086,0.5,exporter_stage_entry
cocoa,persistence,active_at_least_3_of_5_years_above_100_kusd,A,size,complete,54026,2004,88,average_precision,0.1541094902728871,0.12633457862756042,0.1872588658070026,exporter
cocoa,persistence,active_at_least_3_of_5_years_above_100_kusd,A,gravity,complete,54026,2004,88,average_precision,0.1418377266726915,0.11987946767048786,0.16803935570840342,exporter
cocoa,persistence,active_at_least_3_of_5_years_above_100_kusd,A,historical_logistic_size_gravity,complete,54026,2004,88,average_precision,0.16800164814871826,0.14194380531076659,0.19558544021596,exporter
cocoa,persistence,active_at_least_3_of_5_years_above_100_kusd,B1,upstream_capacity,complete,277,30,74,average_precision,0.2101877873038814,0.0919052483978833,0.3609092655028311,exporter
cocoa,persistence,active_at_least_3_of_5_years_above_100_kusd,B1,historical_logistic_structural,complete,277,30,74,average_precision,0.46999705710959133,0.32229133685490563,0.6325178221784535,exporter
cocoa,persistence,active_at_least_3_of_5_years_above_100_kusd,B2,processed_importer_demand,complete,4257,44,30,macro_recall_at_3,0.175,0.06625,0.3416666666666667,exporter_stage_entry
cocoa,persistence,active_at_least_3_of_5_years_above_100_kusd,B2,gravity,complete,4257,44,30,macro_recall_at_3,0.29,0.154875,0.45,exporter_stage_entry
cocoa,persistence,active_at_least_3_of_5_years_above_100_kusd,B2,historical_logistic_demand_gravity,complete,4257,44,30,macro_recall_at_3,0.3233333333333333,0.173125,0.49854166666666666,exporter_stage_entry
oilseed-soy,identity,exporter_seen,A,size,complete,26432,926,62,average_precision,0.10593974435403271,0.07578016744884283,0.16134684953215755,exporter
oilseed-soy,identity,exporter_seen,A,gravity,complete,26432,926,62,average_precision,0.08131317597864915,0.05543046853858888,0.11235458435939956,exporter
oilseed-soy,identity,exporter_seen,A,historical_logistic_size_gravity,complete,26432,926,62,average_precision,0.10150680365167952,0.06642819830553987,0.1521009874178001,exporter
oilseed-soy,identity,exporter_seen,B1,upstream_capacity,complete,45,18,26,average_precision,0.4720104234225415,0.2716242085386906,0.7106347857279606,exporter
oilseed-soy,identity,exporter_seen,B1,historical_logistic_structural,complete,45,18,26,average_precision,0.46865801614321684,0.3139571296098545,0.7339596382869868,exporter
oilseed-soy,identity,exporter_seen,B2,processed_importer_demand,complete,2380,36,18,macro_recall_at_3,0.1111111111111111,0.027777777777777776,0.19444444444444445,exporter_stage_entry
oilseed-soy,identity,exporter_seen,B2,gravity,complete,2380,36,18,macro_recall_at_3,0.06481481481481483,0.0,0.13912037037037042,exporter_stage_entry
oilseed-soy,identity,exporter_seen,B2,historical_logistic_demand_gravity,complete,2380,36,18,macro_recall_at_3,0.0925925925925926,0.027777777777777776,0.19444444444444445,exporter_stage_entry
oilseed-soy,identity,exporter_unseen,A,size,complete,8116,108,26,average_precision,0.059068960954043015,0.018635335881098482,0.10670664800098456,exporter
