method,display_name,family,chain,task,seed_count,headline_metric,headline_mean,headline_population_sd,value_metric,value_capture_mean,value_capture_population_sd
xrfm,xRFM,tabular,cotton,B2,5,macro_recall_at_3,0.08333333333333333,0.0,macro_value_capture_at_3,0.08220609154982315,0.0
xrfm,xRFM,tabular,aluminium,A,5,average_precision,0.10424263903706468,0.0006435545933603167,value_capture_at_500,0.03921486840377882,0.0015577900401827216
xrfm,xRFM,tabular,aluminium,B1,5,average_precision,0.37075388449179264,0.0,value_capture_at_50,0.12116583131692578,0.0
xrfm,xRFM,tabular,aluminium,B2,5,macro_recall_at_3,0.09098818646232439,0.0,macro_value_capture_at_3,0.09640820131915552,0.0
xrfm,xRFM,tabular,nickel,A,5,average_precision,0.1230630089461721,0.0,value_capture_at_500,0.25192976808412804,0.0
xrfm,xRFM,tabular,nickel,B1,5,average_precision,0.3032979446859771,0.0,value_capture_at_50,0.041756579944008713,0.0
xrfm,xRFM,tabular,nickel,B2,5,macro_recall_at_3,0.09532828282828282,0.0,macro_value_capture_at_3,0.09873692224933106,0.0
xrfm,xRFM,tabular,cocoa,A,5,average_precision,0.11586850349209235,0.0,value_capture_at_500,0.06435790432599753,0.0
xrfm,xRFM,tabular,cocoa,B1,5,average_precision,0.39864376052283496,0.0,value_capture_at_50,0.27260573780032626,0.0
xrfm,xRFM,tabular,cocoa,B2,5,macro_recall_at_3,0.07142857142857142,0.0,macro_value_capture_at_3,0.05892473369727245,0.0
xrfm,xRFM,tabular,oilseed-soy,A,5,average_precision,0.058130706920454,0.0,value_capture_at_500,0.07777692614358353,0.0
xrfm,xRFM,tabular,oilseed-soy,B1,5,average_precision,0.5721128157941973,0.0,value_capture_at_50,0.67790482062128,0.0
xrfm,xRFM,tabular,oilseed-soy,B2,5,macro_recall_at_3,0.01797385620915033,0.0,macro_value_capture_at_3,0.016264599547635043,0.0
tabiclv2,TabICLv2,tabular,sheep,A,5,average_precision,0.14091356753994044,0.0013401062147003907,value_capture_at_500,0.25756518153753766,0.01431552083199977
tabiclv2,TabICLv2,tabular,sheep,B1,5,average_precision,0.15183392990433422,0.01003583782769632,value_capture_at_50,0.06805288078391389,0.0020546279684074452
tabiclv2,TabICLv2,tabular,sheep,B2,5,macro_recall_at_3,0.09333333333333334,0.03265986323710904,macro_value_capture_at_3,0.09292385775693271,0.03466587568573619
tabiclv2,TabICLv2,tabular,cotton,A,5,average_precision,0.17411345869022019,0.00021997997209494138,value_capture_at_500,0.08427461637206585,0.0008939442910818415
tabiclv2,TabICLv2,tabular,cotton,B1,5,average_precision,0.13349582853866443,0.002461672727412303,value_capture_at_50,0.8170674906984117,0.0019097649111897042
tabiclv2,TabICLv2,tabular,cotton,B2,5,macro_recall_at_3,0.21666666666666665,0.006804138174397707,macro_value_capture_at_3,0.21582227852770633,0.0064577146238808825
tabiclv2,TabICLv2,tabular,aluminium,A,5,average_precision,0.18583041727523314,0.00038829849298082595,value_capture_at_500,0.09952909771592795,0.009086154605822787
tabiclv2,TabICLv2,tabular,aluminium,B1,5,average_precision,0.3776942167198306,0.009060100395042325,value_capture_at_50,0.31854162166465094,0.001214703520489502
tabiclv2,TabICLv2,tabular,aluminium,B2,5,macro_recall_at_3,0.2591209025117071,0.004408289153421515,macro_value_capture_at_3,0.2569240053180466,0.004467269184361627
tabiclv2,TabICLv2,tabular,nickel,A,5,average_precision,0.20284946058816944,0.0004433778043231278,value_capture_at_500,0.5315230472591391,0.001864664322697836
tabiclv2,TabICLv2,tabular,nickel,B1,5,average_precision,0.3533567134605271,0.01543031637934706,value_capture_at_50,0.19687797768489707,0.001096524084385885
tabiclv2,TabICLv2,tabular,nickel,B2,5,macro_recall_at_3,0.23611888111888116,0.010662906821284722,macro_value_capture_at_3,0.2528500204305392,0.020339589864938504
tabiclv2,TabICLv2,tabular,cocoa,A,5,average_precision,0.2113712429625243,0.00023667469697428867,value_capture_at_500,0.16051735253020835,0.006668629369758851
tabiclv2,TabICLv2,tabular,cocoa,B1,5,average_precision,0.4316990694455042,0.03153907842356037,value_capture_at_50,0.32941095145107974,0.09416490746610802
tabiclv2,TabICLv2,tabular,cocoa,B2,5,macro_recall_at_3,0.2515873015873016,0.034992710611188256,macro_value_capture_at_3,0.23766815045602346,0.03499271061118824
tabiclv2,TabICLv2,tabular,oilseed-soy,A,5,average_precision,0.10414782970032402,0.0010404796022354622,value_capture_at_500,0.27259423198215105,0.0010716116756024447
tabiclv2,TabICLv2,tabular,oilseed-soy,B1,5,average_precision,0.5854662254508683,0.009856458999165341,value_capture_at_50,0.9828565373907459,0.0007232342987057055
tabiclv2,TabICLv2,tabular,oilseed-soy,B2,5,macro_recall_at_3,0.14836601307189543,0.0056034079083275385,macro_value_capture_at_3,0.14547483382858237,0.007769135711874748
